// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。

// <3182> 「………」
<3182> 「………」

// <3183> ミナタ
<3183> ミナタ

// <3184> 「能力者とはいえ、あなた一人でなんて…」
<3184> 「能力者とはいえ、あなた一人でなんて…」

// <3185> 咲夜
<3185> 咲夜

// <3186> 「いいんです。わたしは必ず帰ってきます」
<3186> 「いいんです。わたしは必ず帰ってきます」

// <3187> 咲夜
<3187> 咲夜

// <3188> 「私は、誓いました。あなたのことを、いつまでも守り続けると」
<3188> 「私は、誓いました。あなたのことを、いつまでも守り続けると」

// <3189> 守るべき人がいた。
<3189> 守るべき人がいた。

// <3190> …そうだ。
<3190> …そうだ。

// <3191> 運命線が重なった。
<3191> 運命線が重なった。

// <3192> 俺の運命。咲夜の運命。
<3192> 俺の運命。咲夜の運命。

// <3193> …いつかの時代に、俺と同じように誰かを守るために戦っていた男。
<3193> …いつかの時代に、俺と同じように誰かを守るために戦っていた男。

// <3194> その男の記憶。
<3194> その男の記憶。

// <3195> その最後は…。
<3195> その最後は…。

// <3196> 咲夜
<3196> 咲夜

// <3197> 「そんな…バカな…」
<3197> 「そんな…バカな…」

// <3198> 滅びは止められなかった。
<3198> 滅びは止められなかった。

// <3199> 目の前で消滅していく都市。
<3199> 目の前で消滅していく都市。

// <3200> 建造物。
<3200> 建造物。

// <3201> 人々。
<3201> 人々。

// <3202> 樹木だけがそこに残る。
<3202> 樹木だけがそこに残る。

// <3203> そして…。
<3203> そして…。

// <3204> ミナタ
<3204> ミナタ

// <3205> 「咲夜…」
<3205> 「咲夜…」

// <3206> 咲夜
<3206> 咲夜

// <3207> 「ミナタ！！」
<3207> 「ミナタ！！」

// <3208> 崩れていく己の体。
<3208> 崩れていく己の体。

// <3209> 強化の限界は疾うに超えていた。
<3209> 強化の限界は疾うに超えていた。

// <3210> それでもなお、咲夜は…。
<3210> それでもなお、咲夜は…。

// <3211> ミナタ
<3211> ミナタ

// <3212> 「ありがとう…」
<3212> 「ありがとう…」

// <3213> ミナタ
<3213> ミナタ

// <3214> 「最後まで、あなたは…」
<3214> 「最後まで、あなたは…」

// <3215> ミナタ
<3215> ミナタ

// <3216> 「私を守ってくれて…」
<3216> 「私を守ってくれて…」

// <3217> 一人の少女のために戦い続けていた。
<3217> 一人の少女のために戦い続けていた。

// <3218> 咲夜
<3218> 咲夜

// <3219> 「最後…！　こんなものが最後だと…！！」
<3219> 「最後…！　こんなものが最後だと…！！」

// <3220> 咲夜
<3220> 咲夜

// <3221> 「私は…私は…」
<3221> 「私は…私は…」

// <3222> 咲夜
<3222> 咲夜

// <3223> 「何のために…」
<3223> 「何のために…」

// <3224> 咲夜
<3224> 咲夜

// <3225> 「何一つ守れてなどいない…！！」
<3225> 「何一つ守れてなどいない…！！」

// <3226> 激しい後悔の情。
<3226> 激しい後悔の情。

// <3227> 崩れていく世界の中で、咲夜の存在は揺らぎとなって、その場に留まり続けていた。
<3227> 崩れていく世界の中で、咲夜の存在は揺らぎとなって、その場に留まり続けていた。

// <3228> …もう、輪廻の中にすら留まることの出来ない身体に書き換わっていたのかもしれない。
<3228> …もう、輪廻の中にすら留まることの出来ない身体に書き換わっていたのかもしれない。

// <3229> 咲夜は一本の樹木となっていた。
<3229> 咲夜は一本の樹木となっていた。

// <3230> 気の遠くなるような時間が訪れる。
<3230> 気の遠くなるような時間が訪れる。

// <3231> 幾星霜。
<3231> 幾星霜。

// <3232> ただ自身を責め続けるだけの、無間地獄。
<3232> ただ自身を責め続けるだけの、無間地獄。

// <3233> 何故守れなかったのか、と。
<3233> 何故守れなかったのか、と。

// <3234> 何もかもを忘れてしまっても、ただその事だけが残り続けた。
<3234> 何もかもを忘れてしまっても、ただその事だけが残り続けた。

// <3235> 不意に、指先に熱が宿る。
<3235> 不意に、指先に熱が宿る。

// <3236> 身体は大きな幹を持った樹木だ。
<3236> 身体は大きな幹を持った樹木だ。

// <3237> その枝の一つが、変わる。
<3237> その枝の一つが、変わる。

// <3238> …魔物だ。
<3238> …魔物だ。

// <3239> そしてそれが、一人の少女の手に渡った。
<3239> そしてそれが、一人の少女の手に渡った。

// <3240> 桜の枝を元に、魔物を作った男。その娘との契約。
<3240> 桜の枝を元に、魔物を作った男。その娘との契約。

// <3241> ちはやだった。
<3241> ちはやだった。

// <3242> …世界は再生していた。
<3242> …世界は再生していた。

// <3243> 解った気がする。
<3243> 解った気がする。

// <3244> ガイアとか、ガーディアンとか…なんで滅びのことを知ってるかって言ったら、根本的に『前に在ったから』なんだ。
<3244> ガイアとか、ガーディアンとか…なんで滅びのことを知ってるかって言ったら、根本的に『前に在ったから』なんだ。

// <3245> 咲夜はその『前』の時の能力者で…。
<3245> 咲夜はその『前』の時の能力者で…。

// <3246> そして今ここで、魔物として変わり果てた姿を晒しているんだ。
<3246> そして今ここで、魔物として変わり果てた姿を晒しているんだ。

// <3247> 枝を通して、咲夜にはちはやの姿が映っていた。
<3247> 枝を通して、咲夜にはちはやの姿が映っていた。

// <3248> 穏やかな日々だ。
<3248> 穏やかな日々だ。

// <3249> ちはやは日々成長していく。
<3249> ちはやは日々成長していく。

// <3250> 咲夜だった揺らぎは、それを眺めることで、少しずつ意識を取り戻していった。
<3250> 咲夜だった揺らぎは、それを眺めることで、少しずつ意識を取り戻していった。

// <3251> ただ、自分がかつて何であったのか。
<3251> ただ、自分がかつて何であったのか。

// <3252> 自分が守れなかったものはなんなのか。
<3252> 自分が守れなかったものはなんなのか。

// <3253> 心に深く刻み付けられた、『守れなかった』という記憶は、なんだったのか。
<3253> 心に深く刻み付けられた、『守れなかった』という記憶は、なんだったのか。

// <3254> それすらも思い出せない。
<3254> それすらも思い出せない。

// <3255> ただ、見守りながら日々は過ぎていった。
<3255> ただ、見守りながら日々は過ぎていった。

// <3256> そして、悲劇は起こった。
<3256> そして、悲劇は起こった。

// <3257> ちはや
<3257> ちはや

// <3258> 「何…？」
<3258> 「何…？」

// <3259> 母親
<3259> 母親

// <3260> 「ちはや、危ないから…森の方まで、一人で行ける？」
<3260> 「ちはや、危ないから…森の方まで、一人で行ける？」

// <3261> ちはや
<3261> ちはや

// <3262> 「なんで…？　私、お母さんといる…」
<3262> 「なんで…？　私、お母さんといる…」

// <3263> 母親
<3263> 母親

// <3264> 「ダメなの。言う事聞いて、お願い」
<3264> 「ダメなの。言う事聞いて、お願い」

// <3265> ちはや
<3265> ちはや

// <3266> 「やだ…なんか怖い…」
<3266> 「やだ…なんか怖い…」

// <3267> 母親
<3267> 母親

// <3268> 「ちはや…お願いだから…」
<3268> 「ちはや…お願いだから…」

// <3269> ちはや
<3269> ちはや

// <3270> 「………」
<3270> 「………」

// <3271> ちはや
<3271> ちはや

// <3272> 「…わかった」
<3272> 「…わかった」

// <3273> 母親
<3273> 母親

// <3274> 「いい子ね…」
<3274> 「いい子ね…」

// <3275> そう言って、母親はちはやを抱きしめる。
<3275> そう言って、母親はちはやを抱きしめる。

// <3276> 母親
<3276> 母親

// <3277> 「ちはや…」
<3277> 「ちはや…」

// <3278> 母親
<3278> 母親

// <3279> 「ごめんなさい。きっと、私とお父さんはあなたに謝らなきゃいけない」
<3279> 「ごめんなさい。きっと、私とお父さんはあなたに謝らなきゃいけない」

// <3280> 母親
<3280> 母親

// <3281> 「もっと普通の子供として生まれてたなら…」
<3281> 「もっと普通の子供として生まれてたなら…」

// <3282> ちはや
<3282> ちはや

// <3283> 「お母さん？」
<3283> 「お母さん？」

// <3284> ちはや
<3284> ちはや

// <3285> 「……別に、私、普通……」
<3285> 「……別に、私、普通……」

// <3286> 母親
<3286> 母親

// <3287> 「ちはや…」
<3287> 「ちはや…」

// <3288> 母親
<3288> 母親

// <3289> 「何かあったら、お父さんのくれた魔物を使ってね」
<3289> 「何かあったら、お父さんのくれた魔物を使ってね」

// <3290> ちはや
<3290> ちはや

// <3291> 「………」
<3291> 「………」

// <3292> 母親
<3292> 母親

// <3293> 「お父さんはあなたのこと心配してたけど、私はわかるわ。あなたにはそういう才能がある」
<3293> 「お父さんはあなたのこと心配してたけど、私はわかるわ。あなたにはそういう才能がある」

// <3294> ちはや
<3294> ちはや

// <3295> 「ごめんなさい、もう…呼んでる…」
<3295> 「ごめんなさい、もう…呼んでる…」

// <3296> 母親
<3296> 母親

// <3297> 「…そう」
<3297> 「…そう」

// <3298> 母親
<3298> 母親

// <3299> 「あなたは強いのね。少しくらいの魔物なら、何も影響がないくらいの力」
<3299> 「あなたは強いのね。少しくらいの魔物なら、何も影響がないくらいの力」

// <3300> 母親
<3300> 母親

// <3301> 「…でも、それは貴方の身を守るために使うべきなの」
<3301> 「…でも、それは貴方の身を守るために使うべきなの」

// <3302> 母親
<3302> 母親

// <3303> 「……さあ、行って」
<3303> 「……さあ、行って」

// <3304> ちはや
<3304> ちはや

// <3305> 「………」
<3305> 「………」

// <3306> 母親
<3306> 母親

// <3307> 「行きなさい」
<3307> 「行きなさい」

// <3308> 黙って頷き、駆け出す。
<3308> 黙って頷き、駆け出す。

// <3309> ちはやは森を駆ける。
<3309> ちはやは森を駆ける。

// <3310> 森の木々越しに、上がる煙を見る。
<3310> 森の木々越しに、上がる煙を見る。

// <3311> ちはや
<3311> ちはや

// <3312> 「………」
<3312> 「………」

// <3313> ちはやは眼を閉じた。
<3313> ちはやは眼を閉じた。

// <3314> 魔物越しに、村の状況を見たんだろう。
<3314> 魔物越しに、村の状況を見たんだろう。

// <3315> 引き返す。
<3315> 引き返す。

// <3316> ちはや
<3316> ちはや

// <3317> 「………」
<3317> 「………」

// <3318> 立ち止まる。
<3318> 立ち止まる。

// <3319> ちはや
<3319> ちはや

// <3320> 「逃げ、逃げ…なきゃ……」
<3320> 「逃げ、逃げ…なきゃ……」

// <3321> 手をかざす。
<3321> 手をかざす。

// <3322> …俺の視点が浮き上がる。
<3322> …俺の視点が浮き上がる。

// <3323> 呼び出された。
<3323> 呼び出された。

// <3324> そして、目の前には一人の男。
<3324> そして、目の前には一人の男。

// <3325> 男
<3325> 男

// <3326> 「…魔物使い…」
<3326> 「…魔物使い…」

// <3327> ちはや
<3327> ちはや

// <3328> 「……！！」
<3328> 「……！！」

// <3329> 男
<3329> 男

// <3330> 「動くな」
<3330> 「動くな」

// <3331> ちはや
<3331> ちはや

// <3332> 「だ、誰…」
<3332> 「だ、誰…」

// <3333> 男
<3333> 男

// <3334> 「………」
<3334> 「………」

// <3335> 男は手にした銃を構える。
<3335> 男は手にした銃を構える。

// <3336> ちはや
<3336> ちはや

// <3337> 「ひっ…」
<3337> 「ひっ…」

// <3338> ちはや
<3338> ちはや

// <3339> 「きゃあああぁぁーーっ！！！」
<3339> 「きゃあああぁぁーーっ！！！」

// <3340> ……！！
<3340> ……！！

// <3341> 俺は前に出る。
<3341> 俺は前に出る。

// <3342> ……いや、俺は記憶を見ているだけだ。
<3342> ……いや、俺は記憶を見ているだけだ。

// <3343> だけど、魔物も全く同じように行動をした。
<3343> だけど、魔物も全く同じように行動をした。

// <3344> 銃弾を弾く。
<3344> 銃弾を弾く。

// <3345> 男が手に何かを構える。
<3345> 男が手に何かを構える。

// <3346> …光球。
<3346> …光球。

// <3347> おそらく、何かしらのエネルギーの塊。
